id,nhogar,miembro,comuna,dominio,edad,parentesco_jefe,situacion_conyugal,num_miembro_padre,num_miembro_madre,estado_ocupacional,cat_ocupacional,calidad_ingresos_lab,ingreso_total_lab,calidad_ingresos_no_lab,ingreso_total_no_lab,calidad_ingresos_totales,ingresos_totales,calidad_ingresos_familiares,ingresos_familiares,ingreso_per_capita_familiar,estado_educativo,sector_educativo,nivel_actual,nivel_max_educativo,años_escolaridad,lugar_nacimiento,afiliacion_salud,cantidad_hijos_nac_vivos,ingreso_total_lab_USD,ingreso_total_no_lab_USD,ingresos_totales_USD,ingresos_familiares_USD,ingreso_per_capita_familiar_USD,ingresos_totales_USD_cat,sexo_Mujer,sexo_Varon,hijos_nacidos_vivos_No,hijos_nacidos_vivos_Si,sist_de_salud_Sistema privado,sist_de_salud_Sistema público
3048,1,2,4,0,46,0,0,No corresponde,No corresponde,2,0,3,10000,1,0,3,10000,2,79000,26333,0,0,10,0,9,0,1,1,157.85319652722967,0.0,157.85319652722967,1247.0402525651143,415.67482241515387,3,1,0,0,1,1,0
3048,1,3,4,0,20,1,4,1,2,2,0,3,25000,1,0,3,25000,2,79000,26333,1,1,1,5,15,0,1,0,394.6329913180742,0.0,394.6329913180742,1247.0402525651143,415.67482241515387,1,1,0,1,0,1,0
3049,1,1,11,0,53,2,3,No corresponde,No corresponde,2,4,3,27000,3,30000,3,57000,2,97000,24250,1,1,1,1,13,1,4,4,426.2036306235201,473.559589581689,899.7632202052091,1531.1760063141278,382.79400157853195,2,1,0,0,1,0,1
3049,1,2,11,0,22,1,4,Padre no vive en el hogar,1,2,0,3,40000,1,0,3,40000,2,97000,24250,0,0,12,1,12,0,1,0,631.4127861089187,0.0,631.4127861089187,1531.1760063141278,382.79400157853195,2,0,1,1,0,1,0
3049,1,3,11,0,19,1,4,Padre no vive en el hogar,1,0,1,1,0,1,0,1,0,2,97000,24250,0,0,12,1,12,0,4,0,0.0,0.0,0.0,1531.1760063141278,382.79400157853195,4,1,0,1,0,0,1
3049,1,4,11,0,12,1,2,Padre no vive en el hogar,1,1,1,1,0,1,0,1,0,2,97000,24250,0,0,5,4,6,0,4,0,0.0,0.0,0.0,1531.1760063141278,382.79400157853195,4,1,0,1,0,0,1
3050,1,1,4,0,53,2,5,No corresponde,No corresponde,2,0,3,19000,1,0,3,19000,2,28000,5600,1,1,1,1,14,0,1,0,299.92107340173635,0.0,299.92107340173635,441.9889502762431,88.39779005524862,1,0,1,1,0,1,0
3050,1,2,4,0,42,0,5,No corresponde,No corresponde,1,1,1,0,3,9000,3,9000,2,28000,5600,1,1,1,3,12,0,1,3,0.0,142.0678768745067,142.0678768745067,441.9889502762431,88.39779005524862,3,1,0,0,1,1,0
3050,1,3,4,0,16,1,4,1,2,1,1,1,0,1,0,1,0,2,28000,5600,0,0,11,0,8,0,1,0,0.0,0.0,0.0,441.9889502762431,88.39779005524862,4,1,0,1,0,1,0
3050,1,4,4,0,15,1,4,1,2,1,1,1,0,1,0,1,0,2,28000,5600,0,0,11,0,8,0,1,0,0.0,0.0,0.0,441.9889502762431,88.39779005524862,4,1,0,1,0,1,0
3050,1,5,4,0,9,1,2,1,2,1,1,0,0,0,0,0,0,2,28000,5600,0,0,5,4,2,0,1,0,0.0,0.0,0.0,441.9889502762431,88.39779005524862,4,0,1,1,0,1,0
3051,1,1,4,0,53,2,0,No corresponde,No corresponde,1,1,1,0,3,2120,3,2120,2,43120,8624,1,1,1,5,15,4,4,4,0.0,33.46487766377269,33.46487766377269,680.6629834254144,136.13259668508286,3,1,0,0,1,0,1
3051,1,2,4,0,52,0,0,No corresponde,No corresponde,2,4,3,22000,1,0,3,22000,2,43120,8624,1,1,1,0,9,1,4,0,347.27703235990526,0.0,347.27703235990526,680.6629834254144,136.13259668508286,1,0,1,1,0,0,1
3051,1,3,4,0,24,1,4,2,1,2,0,3,19000,1,0,3,19000,2,43120,8624,0,0,12,1,13,0,1,0,299.92107340173635,0.0,299.92107340173635,680.6629834254144,136.13259668508286,1,0,1,1,0,1,0
3051,1,4,4,0,19,1,4,2,1,1,1,1,0,1,0,1,0,2,43120,8624,0,0,13,1,12,0,4,0,0.0,0.0,0.0,680.6629834254144,136.13259668508286,4,0,1,1,0,0,1
3051,1,5,4,0,10,1,2,2,1,1,1,1,0,1,0,1,0,2,43120,8624,0,3,5,4,3,0,4,0,0.0,0.0,0.0,680.6629834254144,136.13259668508286,4,1,0,1,0,0,1
3052,1,1,3,0,53,2,0,No corresponde,No corresponde,2,0,3,38000,1,0,3,38000,2,79000,26333,1,1,1,1,14,0,0,0,599.8421468034727,0.0,599.8421468034727,1247.0402525651143,415.67482241515387,2,0,1,1,0,1,0
3052,1,2,3,0,55,0,0,No corresponde,No corresponde,2,0,3,30000,1,0,3,30000,2,79000,26333,1,1,1,5,15,6,0,1,473.559589581689,0.0,473.559589581689,1247.0402525651143,415.67482241515387,2,1,0,0,1,1,0
3052,1,3,3,0,25,1,4,No corresponde,No corresponde,2,0,3,11000,1,0,3,11000,2,79000,26333,0,0,13,1,15,0,0,0,173.63851617995263,0.0,173.63851617995263,1247.0402525651143,415.67482241515387,3,0,1,1,0,1,0
3053,1,1,14,0,53,2,3,No corresponde,No corresponde,1,1,1,0,3,110000,3,110000,2,110000,110000,1,1,1,5,15,0,2,0,0.0,1736.3851617995265,1736.3851617995265,1736.3851617995265,1736.3851617995265,0,0,1,1,0,1,0
3054,1,1,7,0,53,2,0,No corresponde,No corresponde,2,0,3,80000,1,0,3,80000,1,200400,40080,1,1,1,5,15,0,1,0,1262.8255722178374,0.0,1262.8255722178374,3163.3780584056826,632.6756116811365,2,0,1,1,0,1,0
3054,1,2,7,0,54,0,0,No corresponde,No corresponde,2,0,3,60000,1,0,3,60000,1,200400,40080,1,1,1,5,15,0,1,3,947.119179163378,0.0,947.119179163378,3163.3780584056826,632.6756116811365,2,1,0,0,1,1,0
